tIyu tI(N30NEUT)+yu_#_NOM
tIgalYu tI(N30NEUT)+galYu_#_PL
tIyannu tI(N30NEUT)+yannu_#_ACC
tIgalYannu tI(N30NEUT)+galYu_#_PL+lYannu_lYu_ACC 
tIyiMxa tI(N30NEUT)+yiMxa_#_INS
tIgalYiMxa tI(N30NEUT)+galYu_#_PL+lYiMxa_lYu_INS
tIgeV tI(N30NEUT)+geV_#_DAT
tIgalYigeV tI(N30NEUT)+galYu_#_PL+lYigeV_lYu_DAT
tIyiMxa tI(N30NEUT)+yiMxa_#_ABL
tIgalYiMxa tI(N30NEUT)+galYu_#_PL+lYiMxa_lYu_ABL
tIya tI(N30NEUT)+ya_#_GEN
tIgalYa tI(N30NEUT)+galYu_#_PL+lYa_lYu_GEN
tIyalli tI(N30NEUT)+yalli_#_LOC
tIgalYalli tI(N30NEUT)+galYu_#_PL+lYalli_lYu_LOC
tIgoskara tI(N30NEUT)+goskara_#_BEN
tIgalYigoskara tI(N30NEUT)+galYu_#_PL+lYigoskara_lYu_BEN
tIgoskara tI(N30NEUT)+goskara_#_PUR
tIgalYigoskara tI(N30NEUT)+galYu_#_PL+lYigoskara_lYu_PUR
tIgAgi tI(N30NEUT)+gAgi_#_BEN
tIgalYigAgi tI(N30NEUT)+galYu_#_PL+lYigAgi_lYu_BEN
tIgAgi tI(N30NEUT)+gAgi_#_PUR
tIgalYigAgi tI(N30NEUT)+galYu_#_PL+lYigAgi_lYu_PUR
tIgosuga tI(N30NEUT)+gosuga_#_BEN
tIgalYigosuga tI(N30NEUT)+galYu_#_PL+lYigosuga_lYu_BEN
tIgosuga tI(N30NEUT)+gosuga_#_PUR
tIgalYigosuga tI(N30NEUT)+galYu_#_PL+lYigosuga_lYu_PUR
tIgiMwa tI(N30NEUT)+giMwa_#_COMP
tIgalYigiMwa tI(N30NEUT)+galYu_#_PL+lYigiMwa_lYu_COMP
tIyaMweV tI(N30NEUT)+yaMweV_#_SIM
tIgalYaMweV tI(N30NEUT)+galYu_#_PL+lYaMweV_lYu_SIM
tIyaMwa tI(N30NEUT)+yaMwa_#_SIM
tIgalYaMwa tI(N30NEUT)+galYu_#_PL+lYaMwa_lYu_SIM
tIyaMwaha tI(N30NEUT)+yaMwaha_#_SIM
tIgalYaMwaha tI(N30NEUT)+galYu_#_PL+lYaMwaha_lYu_SIM
tIyoVdaneV tI(N30NEUT)+yoVdaneV_#_SOC
tIgalYoVdaneV tI(N30NEUT)+galYu_#_PL+lYoVdaneV_lYu_SOC
tIyoVMxigeV tI(N30NEUT)+yoVMxigeV_#_SOC
tIgalYoVMxigeV tI(N30NEUT)+galYu_#_PL+lYoVMxigeV_lYu_SOC
tIyA tI(N30NEUT)+yu_#_NOM+yA_yu_INTR
tIyU tI(N30NEUT)+yu_#_NOM+yU_yu_INCL
tIyo tI(N30NEUT)+yu_#_NOM+yo_yu_DUB
tIyo tI(N30NEUT)+yu_#_NOM+yo_yu_INDF
tIyo tI(N30NEUT)+yu_#_NOM+yo_yu_PRES
tIye tI(N30NEUT)+yu_#_NOM+ye_yu_IMPH
tIye tI(N30NEUT)+yu_#_NOM+ye_yu_DECL
tIye tI(N30NEUT)+yu_#_NOM+ye_yu_RIS
tIyannA tI(N30NEUT)+yannu_#_ACC+nnA_nnu_INTR
tIyannU tI(N30NEUT)+yannu_#_ACC+nnU_nnu_INCL
tIyanno tI(N30NEUT)+yannu_#_ACC+nno_nnu_DUB
tIyanno tI(N30NEUT)+yannu_#_ACC+nno_nnu_INDF
tIyanno tI(N30NEUT)+yannu_#_ACC+nno_nnu_PRES
tIyanne tI(N30NEUT)+yannu_#_ACC+nne_nnu_IMPH
tIyanne tI(N30NEUT)+yannu_#_ACC+nne_nnu_DECL
tIyanne tI(N30NEUT)+yannu_#_ACC+nne_nnu_RIS
tIyiMxalA tI(N30NEUT)+yiMxa_#_INS+lA_#_INTR
tIyiMxalU tI(N30NEUT)+yiMxa_#_INS+lU_#_INCL
tIyiMxalo tI(N30NEUT)+yiMxa_#_INS+lo_#_DUB
tIyiMxalo tI(N30NEUT)+yiMxa_#_INS+lo_#_INDF
tIyiMxalo tI(N30NEUT)+yiMxa_#_INS+lo_#_PRES
tIyiMxale tI(N30NEUT)+yiMxa_#_INS+le_#_IMPH
tIyiMxale tI(N30NEUT)+yiMxa_#_INS+le_#_DECL
tIyiMxale tI(N30NEUT)+yiMxa_#_INS+le_#_RIS
tIgA tI(N30NEUT)+geV_#_DAT+gA_geV_INTR
tIgU tI(N30NEUT)+geV_#_DAT+gU_geV_INCL
tIgo tI(N30NEUT)+geV_#_DAT+go_geV_DUB
tIgo tI(N30NEUT)+geV_#_DAT+go_geV_INDF
tIgo tI(N30NEUT)+geV_#_DAT+go_geV_PRES
tIge tI(N30NEUT)+geV_#_DAT+ge_geV_IMPH
tIge tI(N30NEUT)+geV_#_DAT+ge_geV_DECL
tIge tI(N30NEUT)+geV_#_DAT+ge_geV_RIS
tIyiMxalA tI(N30NEUT)+yiMxa_#_ABL+lA_#_INTR
tIyiMxalU tI(N30NEUT)+yiMxa_#_ABL+lU_#_INCL
tIyiMxalo tI(N30NEUT)+yiMxa_#_ABL+lo_#_DUB
tIyiMxalo tI(N30NEUT)+yiMxa_#_ABL+lo_#_INDF
tIyiMxalo tI(N30NEUT)+yiMxa_#_ABL+lo_#_PRES
tIyiMxale tI(N30NEUT)+yiMxa_#_ABL+le_#_IMPH
tIyiMxale tI(N30NEUT)+yiMxa_#_ABL+le_#_DECL
tIyiMxale tI(N30NEUT)+yiMxa_#_ABL+le_#_RIS
tIyalliyA tI(N30NEUT)+yalli_#_LOC+yA_#_INTR
tIyalliyU tI(N30NEUT)+yalli_#_LOC+yU_#_INCL
tIyalliyo tI(N30NEUT)+yalli_#_LOC+yo_#_DUB
tIyalliyo tI(N30NEUT)+yalli_#_LOC+yo_#_INDF
tIyalliyo tI(N30NEUT)+yalli_#_LOC+yo_#_PRES
tIyalliye tI(N30NEUT)+yalli_#_LOC+ye_#_IMPH
tIyalliye tI(N30NEUT)+yalli_#_LOC+ye_#_DECL
tIyalliye tI(N30NEUT)+yalli_#_LOC+ye_#_RIS
tIgalYA tI(N30NEUT)+galYu_#_NOM+lYA_lYu_INTR
tIgalYU tI(N30NEUT)+galYu_#_NOM+lYU_lYu_INCL
tIgalYo tI(N30NEUT)+galYu_#_NOM+lYo_lYu_DUB
tIgalYo tI(N30NEUT)+galYu_#_NOM+lYo_lYu_INDF
tIgalYo tI(N30NEUT)+galYu_#_NOM+lYo_lYu_PRES
tIgalYe tI(N30NEUT)+galYu_#_NOM+lYe_lYu_IMPH
tIgalYe tI(N30NEUT)+galYu_#_NOM+lYe_lYu_DECL
tIgalYe tI(N30NEUT)+galYu_#_NOM+lYe_lYu_RIS
tIgalYannA tI(N30NEUT)+galYu_#_ACC+lYannA_lYu_INTR
tIgalYannU tI(N30NEUT)+galYu_#_ACC+lYannU_lYu_INCL
tIgalYanno tI(N30NEUT)+galYu_#_ACC+lYanno_lYu_DUB
tIgalYanno tI(N30NEUT)+galYu_#_ACC+lYanno_lYu_INDF
